"","x"
"1",1.70380560540829e-09
"1",1.47379844075601e-09
"1",1.79868129919526e-09
"1",3.82451336113659e-11
"1",2.60731011977873e-11
"1",4.59780297538303e-12
"1",1.35081569536645e-05
"1",1.27087786778657e-17
"1",6.14472216547029e-07
"1",4.28233726352278e-11
"1",9.13354273807114e-12
"1",1.65599664846222e-15
"1",1.84225271188496e-08
"1",4.79449767228031e-12
"1",1.66460584230751e-12
"1",7.45151700778493e-15
"1",1.89395832463924e-12
"1",2.33425176465962e-15
"1",1.63746342708515e-07
"1",2.95131181021493e-16
"1",1.91950918745235e-08
"1",0.000156810517919198
"1",9.39738212116363e-14
"1",5.94605749192301e-17
"1",5.23191822724045e-10
"1",2.50768271703899e-09
"1",3.22527210332472e-14
"1",1.62899254440999e-15
"1",6.81423903912581e-07
"1",6.33267874805871e-07
"1",1.79731746390668e-09
"1",9.48458588837374e-12
"1",1.65158127679054e-10
"1",1.02959256012257e-11
"1",3.94505388650635e-10
"1",1.47624667328652e-12
"1",3.53693970915543e-10
"1",1.47593788382321e-11
"1",9.69306610827119e-13
"1",2.25322428421074e-08
"1",2.54985270164873e-10
"1",6.00655471659352e-13
"1",4.96272663232569e-14
"1",9.786901863349e-14
"1",2.54758449454343e-10
"1",3.23808871661617e-13
"1",3.80761270546989e-06
"1",4.35464677449662e-12
"1",1.71608151808893e-11
"1",2.91041574386848e-08
