"","x"
"1",0.921877657309128
"1",1.1206090012948
"1",0.926816223118388
"1",1.05278116891937
"1",1.04026979302432
"1",1.17147675209997
"1",0.988296743566858
"1",0.915264890880443
"1",0.958321304816365
"1",1.00023280285048
"1",0.961528766354755
"1",0.854513271782911
"1",0.919783078913059
"1",0.975539980801532
"1",0.981450578559957
"1",1.12322839232032
"1",1.02553006078052
"1",1.05452400177211
"1",1.00646692429715
"1",0.8538788055298
"1",1.17626045842285
"1",0.901351307266069
"1",0.991444228097622
"1",0.940683018577954
"1",1.00775691490058
"1",1.01854739812564
"1",0.979024249105229
"1",1.10801422766814
"1",1.02874940403861
"1",0.877035729495716
"1",1.04162114745661
"1",0.947653325595332
"1",1.11093409209499
"1",1.06349094868448
"1",1.01028068118204
"1",1.08968844608594
"1",1.09516105373663
"1",1.0390184217702
"1",1.05491366015382
"1",1.14372664935158
"1",0.878154874891756
"1",0.804522933190349
"1",0.820872702400147
"1",1.01249441437241
"1",1.10040756821995
"1",0.92938132322634
"1",0.959902531318776
"1",1.07396464718914
"1",0.959565794785417
"1",0.973489932010587
