x
-921.6922724
-920.8864307
-920.7496635
-920.3584384
-920.7358386
-921.3516042
-920.5242675
-921.7709473
-921.3410079
-920.8944472
-921.3601038
-920.6076194
-921.0388648
-920.2249434
-920.3060196
-920.6499791
-921.2580036
-921.4322793
-921.5289984
-920.3853578
-921.0919838
-920.4053118
-920.0787253
-921.4840631
-920.7185385
-919.8240379
-920.8122878
-920.8639679
-920.2469537
-921.2547276
-920.9798985
-920.210121
-920.2158823
-920.5932815
-920.5789768
-920.5705881
-920.3856936
-921.0330851
-920.8124756
-920.5133003
-921.544092
-921.5164839
-921.445799
-920.9483699
-920.9653353
-921.4971074
-921.8894649
-920.1226871
-921.4950705
-920.076236
